Rank,Score,Title,Date,Views,Transcript,Category,URL,TranscriptSource
A,76.0,Parsing a User-Uploaded PDF in Foundry,2025-08-27,2324,无,,https://www.youtube.com/watch?v=YcLvnmkTgEw,youtube
A,76.0,Building a Visual Semantic Search,2025-07-02,1694,无,,https://www.youtube.com/watch?v=yER32U_cjQI,youtube
B,63.0,Intro to Foundry Pipeline Builder,2023-07-11,28423,无,,https://www.youtube.com/watch?v=WIQA7u1tbsY,youtube
A,76.0,Deep Dive:  Data Analysis in Quiver,2025-09-18,3784,有,,https://www.youtube.com/watch?v=FGLlWLxfH-c,youtube
B,55.0,Securing PII Data in Palantir Foundry,2023-08-01,2026,无,,https://www.youtube.com/watch?v=a6evESSwZaA,youtube
A,76.0,Introduction to AIP Agents,2025-03-19,6059,无,,https://www.youtube.com/watch?v=6HTgMkirqN0,youtube
A,76.0,Speedrun: Mining your First Business Process (update),2026-01-14,651,有,,https://www.youtube.com/watch?v=TTYHAtQ4ROw,youtube
A,76.0,Deep Dive: Data Analysis in Quiver,2025-02-20,3375,无,,https://www.youtube.com/watch?v=q46EmKSijTs,youtube
A,76.0,Using the AIP Generated Content Widget in Workshop,2025-11-12,1004,有,,https://www.youtube.com/watch?v=JmCAjPRvreM,youtube
A,76.0,Extracting a Table from a PDF Using Pipeline Builder,2025-05-21,2639,无,,https://www.youtube.com/watch?v=_bsFSgMVXT4,youtube
B,55.0,Data Connection in 10min,2023-07-18,10753,无,,https://www.youtube.com/watch?v=WCt7dN_-5wg,youtube
A,76.0,Plotting Railroads on a Map in Foundry,2025-08-06,1410,无,,https://www.youtube.com/watch?v=3poQx9WabGU,youtube
A,76.0,Creating and Using Image Embeddings in Pipeline Builder,2025-12-03,863,有,,https://www.youtube.com/watch?v=Us9_97Cj90o,youtube
A,70.0,Navigating in Foundry,2024-07-24,1848,无,,https://www.youtube.com/watch?v=zbsTY6yu2L8,youtube
A,76.0,Build with Us: Sending your Contour Dashboard on a Schedule,2025-03-05,1246,无,,https://www.youtube.com/watch?v=kq5pVJg29cQ,youtube
A,76.0,Extracting a Table from an Image in Pipeline Builder,2025-06-04,1106,无,,https://www.youtube.com/watch?v=ScDr-hMd1yc,youtube
B,55.0,How to use Contour's SQL Expressions Board,2023-08-15,3441,无,,https://www.youtube.com/watch?v=aM3fBQ7DL3E,youtube
